NumberOfDays,Daily_cases,Temp,Humidity,Total,Avg_Temp,Pop_Density,Growth_Rate,Date
1,8,26,0.62,8,26.9,103,1.95,11/3/2020
2,13,21,0.75,21,27,103,1.94,12/3/2020
3,13,19,0.7,34,27.1,103,1.93,13/3/2020
4,17,23,0.7,51,27.2,103,1.92,14/3/2020
5,16,27,0.55,67,27.3,103,1.91,15/03/2020
6,40,27,0.47,107,27.4,103,1.9,16/03/2020
7,30,18,0.59,137,27.5,103,1.89,17/03/2020
8,14,19,0.51,151,27.6,103,1.88,18/03/2020
9,46,20,0.49,197,27.7,103,1.87,19/03/2020
10,29,16,0.53,226,27.8,103,1.86,20/03/2020
11,9,19,0.49,235,27.9,103,1.85,21/03/2020
12,33,25,0.34,268,28,103,1.84,22/03/2020
13,39,28,0.24,307,28.1,103,1.83,23/03/2020
14,36,26,0.39,343,28.2,103,1.82,24/03/2020
15,54,24,0.5,397,28.3,103,1.81,25/03/2020
16,39,27,0.4,436,28.4,103,1.8,26/03/2020
17,41,29,0.4,477,28.5,103,1.79,27/03/2020
18,40,24,0.52,517,28.6,103,1.78,28/03/2020
19,33,27,0.31,550,28.7,103,1.77,29/03/2020
20,47,31,0.17,598,28.8,103,1.76,30/03/2020
21,54,30,0.23,651,28.9,103,1.75,31/03/2020
22,69,24,0.52,720,29,103,1.74,1/4/2020
23,86,26,0.43,806,29.1,103,1.73,2/4/2020
24,120,29,0.3,926,29.2,103,1.72,3/4/2020
25,85,34,0.18,1011,29.3,103,1.71,4/4/2020
26,103,30,0.32,1114,29.4,103,1.7,5/4/2020
27,149,27,0.49,1263,29.5,103,1.69,6/4/2020
28,128,25,0.47,1391,29.6,103,1.68,7/4/2020
29,110,24,0.5,1501,29.7,103,1.67,8/4/2020
30,139,22,0.48,1640,29.8,103,1.66,9/4/2020
31,95,22,0.51,1735,29.9,103,1.65,10/4/2020
32,154,24,0.51,1889,30,103,1.64,11/4/2020
33,126,28,0.46,2015,30.1,103,1.63,12/4/2020
34,125,27,0.44,2140,30.2,103,1.62,13/04/2020
35,160,29,0.44,2300,30.3,103,1.61,14/04/2020
36,155,30,0.37,2455,30.4,103,1.6,15/04/2020
37,168,8,0.34,2623,30.5,103,1.59,16/04/2020
38,171,29,0.48,2749,30.6,103,1.58,17/04/2020
39,188,29,0.51,2982,30.7,103,1.57,18/04/2020
40,112,29,0.47,3094,30.8,103,1.56,19/04/2020
41,189,31,0.42,3283,30.9,103,1.55,20/04/2020
42,157,38,0.28,3440,31,103,1.54,21/04/2020
43,169,34,0.26,3609,31.1,103,1.53,22/04/2020
44,232,31,0.45,3841,31.2,103,1.52,23/04/2020
45,201,35,0.38,4042,31.3,103,1.51,24/04/2020
46,227,26,0.51,4269,31.4,103,1.5,25/04/2020
47,215,27,0.46,4484,31.5,103,1.49,26/04/2020
48,248,31,0.34,4732,31.6,103,1.48,27/04/2020
49,260,32,0.38,4992,31.7,103,1.47,28/04/2020
50,226,30,0.45,5218,31.8,103,1.46,29/04/2020
51,269,30,0.39,5487,31.9,103,1.45,30/04/2020
52,358,33,0.32,5845,32,103,1.44,1/5/2020
53,289,33,0.39,6134,32.1,103,1.43,2/5/2020
54,272,32,0.37,6406,32.2,103,1.42,3/5/2020
55,348,33,0.34,6754,32.3,103,1.41,4/5/2020
56,388,27,0.46,7142,32.4,103,1.4,5/5/2020
57,387,29,0.45,7529,32.5,103,1.39,6/5/2020
58,393,37,0.34,7922,32.6,103,1.38,7/5/2020
59,495,37,0.29,8417,32.7,103,1.37,8/5/2020
60,488,30,0.52,8905,32.8,103,1.36,9/5/2020
