Avg_Temp,Pop_Density,Total,Temp,Humidity,Daily_cases,NumberOfDays,Growth_Rate,Date
10,19.45,93,21,0.47,93,1,2.46,11/3/2020
10.1,19.45,200,14,0.65,107,2,2.45,12/3/2020
10.2,19.45,312,12,0.68,112,3,2.44,13/3/2020
10.3,19.45,547,7,0.43,235,4,2.43,14/3/2020
10.4,19.45,1289,12,0.45,742,5,2.42,15/03/2020
10.5,19.45,2631,12,0.48,1342,6,2.41,16/03/2020
10.6,19.45,4972,11,0.79,2341,7,2.4,17/03/2020
10.7,19.45,8024,25,0.52,3052,8,2.39,18/03/2020
10.8,19.45,10017,18,0.86,1993,9,2.38,19/03/2020
10.9,19.45,15457,7,0.83,5440,10,2.37,20/03/2020
11,19.45,20580,5,0.37,5123,11,2.36,21/03/2020
11.1,19.45,26296,13,0.43,5516,12,2.35,22/03/2020
11.2,19.45,32770,7,0.8,6674,13,2.34,23/03/2020
11.3,19.45,38867,16,0.64,6097,14,2.33,24/03/2020
11.4,19.45,46247,21,0.69,7380,15,2.32,25/03/2020
11.5,19.45,53497,12,0.59,7250,16,2.31,26/03/2020
11.6,19.45,60910,8,0.54,7413,17,2.3,27/03/2020
11.7,19.45,67695,11,0.68,6785,18,2.29,28/03/2020
11.8,19.45,76518,9,0.88,8823,19,2.28,29/03/2020
11.9,19.45,84622,13,0.72,8104,20,2.27,30/03/2020
12,19.45,93975,14,0.68,9353,21,2.26,31/03/2020
12.1,19.45,104603,11,0.55,10628,22,2.25,1/4/2020
12.2,19.45,116109,17,0.53,11506,23,2.24,2/4/2020
12.3,19.45,124586,18,0.7,8477,24,2.23,3/4/2020
12.4,19.45,133721,19,0.66,9135,25,2.22,4/4/2020
12.5,19.45,144435,20,0.72,10714,26,2.21,5/4/2020
12.6,19.45,153435,18,0.43,9000,27,2.2,6/4/2020
12.7,19.45,163968,15,0.43,10533,28,2.19,7/4/2020
12.8,19.45,175013,9,0.7,11045,29,2.18,8/4/2020
12.9,19.45,183982,13,0.6,8969,30,2.17,9/4/2020
13,19.45,192440,17,0.46,8458,31,2.16,10/4/2020
13.1,19.45,198859,19,0.39,6419,32,2.15,11/4/2020
13.2,19.45,206473,16,0.52,7614,33,2.14,12/4/2020
13.3,19.45,218134,12,0.76,11661,34,2.13,13/04/2020
13.4,19.45,225770,10,0.45,7636,35,2.12,14/04/2020
13.5,19.45,233523,11,0.36,7753,36,2.11,15/04/2020
13.6,19.45,240613,8,0.36,7090,37,2.1,16/04/2020
13.7,19.45,246787,17,0.45,6174,38,2.09,17/04/2020
13.8,19.45,251666,14,0.72,4879,39,2.08,18/04/2020
13.9,19.45,256127,16,0.48,4461,40,2.07,19/04/2020
14,19.45,261840,11,0.48,5713,41,2.06,20/04/2020
14.1,19.45,268153,11,0.55,6313,42,2.05,21/04/2020
14.2,19.45,277017,9,0.32,8864,43,2.04,22/04/2020
14.3,19.45,287885,18,0.47,10868,44,2.03,23/04/2020
14.4,19.45,293563,11,0.85,5678,45,2.02,24/04/2020
14.5,19.45,297576,10,0.6,4013,46,2.01,25/04/2020
14.6,19.45,301040,19,0.78,3464,47,2,26/04/2020
14.7,19.45,305748,15,0.76,4708,48,1.99,27/04/2020
14.8,19.45,310429,16,0.53,4681,49,1.98,28/04/2020
14.9,19.45,314813,19,0.68,4383,50,1.97,29/04/2020
15,19.45,318804,23,0.84,3991,51,1.96,30/04/2020
15.1,19.45,323474,27,0.74,4670,52,1.95,1/5/2020
15.2,19.45,326965,24,0.74,3491,53,1.94,2/5/2020
15.3,19.45,329730,17,0.54,2765,54,1.93,3/5/2020
15.4,19.45,333082,11,0.47,3352,55,1.92,4/5/2020
15.5,19.45,337012,19,0.36,3930,56,1.91,5/5/2020
15.6,19.45,340296,14,0.6,3284,57,1.9,6/5/2020
15.7,19.45,343000,9,0.44,2704,58,1.89,7/5/2020
15.8,19.45,344997,18,0.57,1997,59,1.88,8/5/2020
15.9,19.45,346742,16,0.4,1745,60,1.87,9/5/2020
